,affiliate,date,employer,localization,title,topic,url
61,État,26 Juin. 19,CNRS délégation Midi-Pyrénées,Haute Garonne (31),"Chef de projet dématérialisation, GED et archivage H/F",Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/chef-de-projet-dematerialisation-ged-et-archivage-hf-reference-2019-193027
62,État,26 Juin. 19,CNRS délégation Midi-Pyrénées,Haute Garonne (31),Ingénieur en ingéniérie logicielle - Finances - Marchés H/F,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/ingenieur-en-ingenierie-logicielle---finances---marches-hf-reference-2019-193014
63,État,26 Juin. 19,CNRS délégation Midi-Pyrénées,Haute Garonne (31),Administrateur technique du Système d'Information H/F,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/administrateur-technique-du-systeme-d-information-hf-reference-2019-192997
64,État,26 Juin. 19,CNRS délégation Midi-Pyrénées,Haute Garonne (31),Ingénieur informatique-expert en infrastructures (H/F),Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/ingenieur-informatique-expert-en-infrastructures-hf-reference-2019-192987
65,État,26 Juin. 19,INSERM DR Nouvelle-Aquitaine,Gironde (33),Ingénieur-e en sciences chimiques/biophysique,Laboratoires,https://www.place-emploi-public.gouv.fr/offre-emploi/ingenieur-e-en-sciences-chimiquesbiophysique-reference-2019-192978
66,État,26 Juin. 19,CNRS délégation Midi-Pyrénées,Haute Garonne (31),Chef de projet informatique - infrastructures et services H/F ,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/chef-de-projet-informatique---infrastructures-et-services-hf--reference-2019-192970
67,État,26 Juin. 19,CNRS délégation Midi-Pyrénées,Haute Garonne (31),Urbaniste du système d'information H/F,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/urbaniste-du-systeme-d-information-hf-reference-2019-192959
68,État,26 Juin. 19,Inserm Délégation Régionale Paris 5,Paris (75),Gestionnaire financier des contrats de recherche externes,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-financier-des-contrats-de-recherche-externes-reference-2019-192511
69,État,26 Juin. 19,Institut national d'histoire de l'art,Paris (75),Chef de service des affaires budgétaires,Gestion budgétaire et financière,https://www.place-emploi-public.gouv.fr/offre-emploi/chef-de-service-des-affaires-budgetaires-reference-2019-168808
70,Territoriale,26 Juin. 19,Conseil départemental des Yvelines,Yvelines (78),CHARGE D'OPERATIONS ROUTIERES,Territoire et développement durable,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-d-operations-routieres-reference-2018-151138
71,Territoriale,26 Juin. 19,Conseil départemental des Yvelines,Yvelines (78),CHARGE D'OPERATIONS ROUTIERES,Territoire et développement durable,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-d-operations-routieres-reference-2018-151133
72,État,26 Juin. 19,La Grande Chancellerie de la Légion d'honneur,Paris (75),Technicien d'exploitation des systèmes d'information et de communication,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/technicien-d-exploitation-des-systemes-d-information-et-de-communication-reference-2019-210922
73,État,26 Juin. 19,Réseau des acheteurs hospitaliers,Paris (75),RESPONSABLE DES FINANCES (H/F),Finances publiques,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-des-finances-hf-reference-2019-210261
74,État,26 Juin. 19,Réseau des acheteurs hospitaliers,Paris (75),ASSISTANT(E) RELATIONS ETABLISSEMENTS (H/F),Achat,https://www.place-emploi-public.gouv.fr/offre-emploi/assistante-relations-etablissements-hf-reference-2019-194186
75,État,26 Juin. 19,Musée de l'Armée,Paris (75),AGENT d'ACHAT,Achat,https://www.place-emploi-public.gouv.fr/offre-emploi/agent-d-achat-reference-2019-169691
